,Word,POS_tag,Named_Entity,Gazetteer_Annotation
0,FRENCH,JJ,NE,
1,FREE,NNP,NE,
2,MARKET,NNP,NE,
3,CEREAL,NNP,NE,
4,EXPORT,NNP,NE,
5,BIDS,NNP,n/a,
6,DETAILED,NNP,n/a,
7,French,JJ,n/a,
8,operators,NNS,n/a,
9,have,VBP,n/a,
10,requested,VBN,n/a,
11,licences,NNS,n/a,
12,to,TO,n/a,
13,export,VB,n/a,
14,"675,500",CD,n/a,
15,tonnes,NNS,n/a,Unit
16,of,IN,n/a,
17,maize,NN,n/a,
18,",",",",n/a,
19,"245,000",CD,n/a,
20,tonnes,NNS,n/a,Unit
21,of,IN,n/a,
22,barley,NN,n/a,
23,",",",",n/a,
24,"22,000",CD,n/a,
25,tonnes,NNS,n/a,Unit
26,of,IN,n/a,
27,soft,JJ,n/a,
28,bread,NN,n/a,
29,wheat,NN,n/a,
30,and,CC,n/a,
31,"20,000",CD,n/a,
32,tonnes,NNS,n/a,Unit
33,of,IN,n/a,
34,feed,NN,n/a,
35,wheat,NN,n/a,
36,at,IN,n/a,
37,today,NN,n/a,
38,'s,POS,n/a,
39,European,NNP,n/a,
40,Community,NNP,n/a,
41,tender,NN,n/a,
42,",",",",n/a,
43,traders,NNS,n/a,
44,said,VBD,n/a,
45,.,.,n/a,
46,Rebates,NNS,NE,
47,requested,VBD,n/a,
48,ranged,VBD,n/a,
49,from,IN,n/a,
50,127.75,CD,n/a,
51,to,TO,n/a,
52,132.50,CD,n/a,
53,European,JJ,n/a,
54,Currency,NNP,n/a,
55,Units,VBZ,n/a,
56,a,DT,n/a,
57,tonne,NN,n/a,Unit
58,for,IN,n/a,
59,maize,NN,n/a,
60,",",",",n/a,
61,136.00,CD,n/a,
62,to,TO,n/a,
63,141.00,CD,n/a,
64,Ecus,NNP,n/a,
65,a,DT,n/a,
66,tonne,NN,n/a,Unit
67,for,IN,n/a,
68,barley,NN,n/a,
69,and,CC,n/a,
70,134.25,CD,n/a,
71,to,TO,n/a,
72,141.81,CD,n/a,
73,Ecus,NNP,n/a,
74,for,IN,n/a,
75,bread,JJ,n/a,
76,wheat,NN,n/a,
77,",",",",n/a,
78,while,IN,n/a,
79,rebates,NNS,n/a,
80,requested,VBD,n/a,
81,for,IN,n/a,
82,feed,NN,n/a,
83,wheat,NN,n/a,
84,were,VBD,n/a,
85,137.65,CD,n/a,
86,Ecus,NNP,n/a,
87,",",",",n/a,
88,they,PRP,n/a,
89,said,VBD,n/a,
90,.,.,n/a,
